n,flops_count,avg_time(s),flops_per_sec
364,96722080,0.185667829400000,520941513
365,97520700,0.186505183200000,522884664
366,98323704,0.191698170800000,512908932
367,99131104,0.189444245900000,523273238
368,99942912,0.190982420700000,523309484
369,100759140,0.192691575000000,522903713
370,101579800,0.194107566600000,523317054
371,102404904,0.196168704100000,522024675
372,103234464,0.196651191500000,524962311
373,104068492,0.199206720600000,522414564
374,104907000,0.200820154000000,522392787
375,105750000,0.201690629000000,524317865
376,106597504,0.203204445800000,524582538
377,107449524,0.204949100200000,524274192
378,108306072,0.206260170900000,525094455
379,109167160,0.208754454200000,522945297
380,110032800,0.210706833300000,522208028
381,110903004,0.212608891900000,521629190
382,111777784,0.213282087700000,524084255
383,112657152,0.215105525000000,523729700
384,113541120,0.219960050300000,516189735
385,114429700,0.220056425100000,520001631
386,115322904,0.222491533400000,518324910
387,116220744,0.223973246000000,518904584
388,117123232,0.225769600000000,518773263
389,118030380,0.228205300100000,517211388
390,118942200,0.230505520900000,516005862
391,119858704,0.232129629100000,516343840
392,120779904,0.233002270700000,518363635
393,121705812,0.234630445800000,518712785
394,122636440,0.236059279200000,519515439
395,123571800,0.237552462500000,520187409
396,124511904,0.244685987700000,508864055
397,125456764,0.242081120800000,518242660
398,126406392,0.242368175000000,521546989
399,127360800,0.244809708300000,520244074
400,128320000,0.247108304300000,519286474
401,129284004,0.250298700000000,516518879
402,130252824,0.250913741600000,519113952
403,131226472,0.252911316400000,518863584
404,132204960,0.253997716700000,520496647
405,133188300,0.255441833400000,521403633
406,134176504,0.258583620700000,518890190
407,135169584,0.260887675200000,518114104
408,136167552,0.265393545800000,513077858
409,137170420,0.265293908200000,517050772
410,138178200,0.266263550100000,518952744
411,139190904,0.266826345800000,521653526
412,140208544,0.269662812200000,519940228
413,141231132,0.271391433300000,520396426
414,142258680,0.273502299900000,520137052
415,143291200,0.276007062200000,519157730
416,144328704,0.277079612500000,520892543
417,145371204,0.279034316800000,520979662
418,146418712,0.281627070700000,519902833
419,147471240,0.290039916700000,508451532
420,148528800,0.286073033400000,519198885
421,149591404,0.286975145800000,521269546
422,150659064,0.292168037600000,515658952
423,151731792,0.294917479300000,514488976
424,152809600,0.297347933600000,513908397
425,153892500,0.295171179100000,521366959
426,154980504,0.297579524800000,520803654
427,156073624,0.299735412500000,520704653
428,157171872,0.309291320700000,508167742
429,158275260,0.307961454000000,513945034
430,159383800,0.317433937600000,502100693
431,160497504,0.317863875100000,504925273
432,161616384,0.335005012500000,482429749
433,162740452,0.334064837200000,487152295
434,163869720,0.317858400200000,515543147
435,165004200,0.321726250100000,512871424
436,166143904,0.325327050100000,510698093
437,167288844,0.326973020800000,511628891
438,168439032,0.324246454200000,519478409
439,169594480,0.328670225100000,516001959
440,170755200,0.344545425100000,495595610
441,171921204,0.341658554000000,503195960
442,173092504,0.336432029400000,514494724
443,174269112,0.345751066700000,504030584
444,175451040,0.344838408300000,508792048
445,176638300,0.354292016500000,498566978
446,177830904,0.358222591500000,496425709
447,179028864,0.355276116800000,503914717
448,180232192,0.362998779300000,496509086
449,181440900,0.360453775100000,503368011
450,182655000,0.363335704200000,502716903
451,183874504,0.357024437400000,515019379
452,185099424,0.358251770900000,516674135
453,186329772,0.358845187500000,519248351
454,187565560,0.370688916500000,505991821
455,188806800,0.363341291600000,519640361
456,190053504,0.374127929300000,507990687
457,191305684,0.378318758300000,505673271
458,192563352,0.369360066500000,521343181
459,193826520,0.371891421000000,521191157
460,195095200,0.373770649900000,521965007
461,196369404,0.384210320800000,511098722
462,197649144,0.389349683200000,507639155
463,198934432,0.388990720800000,511411767
464,200225280,0.390759287600000,512400566
465,201521700,0.388077329200000,519282331
466,202823704,0.392008508300000,517396178
467,204131304,0.396659820900000,514625614
468,205444512,0.407529050200000,504122373
469,206763340,0.402604300000000,513564659
470,208087800,0.414946079000000,501481543
471,209417904,0.418108375000000,500869910
472,210753664,0.406052087600000,519031106
473,212095092,0.410794708300000,516304343
474,213442200,0.414144066600000,515381524
475,214795000,0.418225670800000,513586360
476,216153504,0.419483075000000,515285400
477,217517724,0.417669583400000,520788998
478,218887672,0.422814733300000,517691686
479,220263360,0.426373541700000,516597158
480,221644800,0.424031649900000,522708152
481,223032004,0.428158045800000,520910459
482,224424984,0.428486012700000,523762684
483,225823752,0.429534496000000,525740666
484,227228320,0.432301429300000,525624725
485,228638700,0.436104358500000,524275201
486,230054904,0.438736158200000,524358204
487,231476944,0.440698208200000,525250477
488,232904832,0.444213446000000,524308379
489,234338580,0.448512166700000,522479873
490,235778200,0.451299829000000,522442476
491,237223704,0.453461204100000,523140021
492,238675104,0.457615696000000,521562320
493,240132412,0.457471312400000,524912504
494,241595640,0.462314058300000,522579047
495,243064800,0.461752062300000,526396783
496,244539904,0.471790158500000,518323453
497,246020964,0.472684016900000,520476587
498,247507992,0.476307683200000,519638882
499,249001000,0.474948066600000,524269952
500,250500000,0.482473950000000,519199016
501,252005004,0.484204320900000,520451787
502,253516024,0.485473858200000,522203245
503,255033072,0.499350654200000,510729424
504,256556160,0.506109920900000,506917864
505,258085300,0.517119050100000,499082948
506,259620504,0.510528479100000,508532853
507,261161784,0.509613708500000,512470092
508,262709152,0.507059795700000,518102903
509,264262620,0.508360733200000,519832872
510,265822200,0.536028854000000,495910244
511,267387904,0.512961575200000,521263028
512,268959744,0.515111354200000,522139032
